,Line,Order,Product,DateBeginning,TimeBeginning,DateEnd,TimeEnd,RealDuration(Min),PauseDuration,RealDuration(Min)WithPauses,Boxes,Workers,PK,Bunches,WPH,WPH/Person
0,1,1,MASONETTES BOUQUET.,2024-10-03,14:25:46,2024-10-03,1900-01-01 12:24:34,58.8,0.0,58.8,226.0,15.0,9.0,2034.0,230.6122478901902,15.374149859346012
1,1,2,MASONETTES BOUQUET.,2024-10-03,15:24:34,2024-10-03,1900-01-01 12:42:10,17.6,0.0,17.6,128.0,15.0,9.0,1152.0,436.36362690570945,29.09090846038063
2,1,3,MASONETTES BOUQUET.,2024-10-03,15:42:10,2024-10-03,1900-01-01 12:46:16,4.1,0.0,4.1,86.0,15.0,9.0,774.0,1258.5366146398546,83.9024409759903
3,1,4,BHAUS ARGT FUN HAUS,2024-10-03,15:46:16,2024-10-03,1900-01-01 12:55:34,9.3,0.0,9.3,243.0,15.0,5.0,1215.0,1567.7419033308563,104.51612688872375
4,1,5,BHAUS ARGT FUN HAUS,2024-10-03,15:55:34,2024-10-03,1900-01-01 12:58:16,2.7,0.0,2.7,52.0,15.0,5.0,260.0,1155.5555351477105,77.03703567651404
5,1,6,BHAUS ARGT PLAY HAUS,2024-10-03,15:58:16,2024-10-03,1900-01-01 13:10:49,12.55,0.0,12.55,139.0,15.0,4.0,556.0,664.541822569618,44.30278817130787
6,1,7,BHAUS ARGT OUR HAUS,2024-10-03,16:10:49,2024-10-03,1900-01-01 13:40:42,29.88,0.0,29.88,244.0,15.0,2.0,488.0,489.959853118831,32.66399020792207
7,1,8,BHAUS ARGT OUR HAUS,2024-10-03,16:40:42,2024-10-03,1900-01-01 13:43:15,2.55,0.0,2.55,178.0,15.0,2.0,356.0,4188.23537243554,279.21569149570263
8,1,9,BHAUS ARGT LUXE HAUS,2024-10-03,16:43:15,2024-10-03,1900-01-01 13:45:52,2.62,0.0,2.62,147.0,15.0,2.0,294.0,3366.412360784474,224.42749071896495
9,1,10,BHAUS ARGT PLAY HAUS,2024-10-03,16:45:52,2024-10-03,1900-01-01 13:46:33,0.68,0.0,0.68,65.0,15.0,4.0,260.0,5735.29405732056,382.35293715470397
10,2,11,BHAUS BQT JOYFUL BLOOMS,2024-10-03,09:49:51,2024-10-03,1900-01-01 07:39:47,49.93,0.0,49.93,246.0,15.0,,,295.6138575963511,19.707590506423408
11,2,12,BUBBLY ROSE,2024-10-03,10:42:38,2024-10-03,1900-01-01 08:00:23,17.75,0.0,17.75,13.0,15.0,12.0,156.0,43.943661971830984,2.9295774647887325
12,2,13,RAINBOW,2024-10-03,11:00:40,2024-10-03,1900-01-01 08:19:11,18.52,0.0,18.52,22.0,15.0,10.0,220.0,71.27429629445014,4.751619752963342
13,2,14,SWEET PINK BOUQUET,2024-10-03,11:19:35,2024-10-03,1900-01-01 09:02:06,42.52,26.07,16.45,249.0,15.0,13.0,3237.0,351.364060187166,23.4242706791444
14,2,15,Dozen Rose CB Red and Color,2024-10-03,12:02:14,2024-10-03,1900-01-01 10:24:55,82.68,0.0,82.68,208.0,15.0,10.0,2080.0,150.9433956692759,10.062893044618393
15,2,16,BHAUS RED 12 PLUS BQT RFD,2024-10-03,13:25:06,2024-10-03,1900-01-01 10:29:49,4.72,0.0,4.72,113.0,15.0,,,1436.4407418172163,95.76271612114776
16,2,17,BHAUS RED 18 PLUS BQT RFD,2024-10-03,13:29:57,2024-10-03,1900-01-01 10:35:45,5.8,0.0,5.8,212.0,15.0,4.0,848.0,2193.103376154953,146.20689174366353
17,2,18,BLOOM HAUS 30 PLUS BOUQUET,2024-10-03,13:36:50,2024-10-03,1900-01-01 11:34:51,58.02,0.0,58.02,201.0,15.0,3.0,603.0,207.859357201819,13.857290480121266
18,2,19,BHAUS RED 30 PLUS BQT RFD,2024-10-03,15:29:27,2024-10-03,1900-01-01 12:37:37,8.17,0.0,8.17,73.0,15.0,3.0,219.0,536.107706131974,35.740513742131604
19,2,20,BLOOM HAUS 18 PLUS BOUQUET,2024-10-03,15:38:01,2024-10-03,1900-01-01 13:48:19,70.3,27.08,43.22,246.0,15.0,4.0,984.0,209.95731663244834,13.997154442163223
20,3,21,Dozen FREEDOM,2024-10-03,09:24:46,2024-10-03,1900-01-01 07:37:53,73.12,0.0,73.12,37.0,15.0,10.0,370.0,30.361049187785664,2.0240699458523776
21,3,22,SWEET PINK BOUQUET,2024-10-03,10:37:53,2024-10-03,1900-01-01 08:25:49,47.93,0.0,47.93,91.0,15.0,13.0,1183.0,113.91612696089207,7.594408464059471
